nivel,vazao
171.40,101.00
173.80,102.00
176.20,103.00
181.00,105.00
185.80,107.00
188.20,108.00
193.00,110.00
195.40,111.00
200.20,113.00
205.00,115.00
209.80,117.00
217.00,120.00
219.45,121.00
224.35,123.00
229.25,125.00
231.70,126.00
234.15,127.00
239.05,129.00
243.95,131.00
246.40,132.00
248.85,133.00
251.30,134.00
256.20,136.00
256.20,136.00
256.20,136.00
258.65,137.00
261.10,138.00
261.10,138.00
261.10,138.00
261.10,138.00
266.00,140.00
256.20,136.00
256.20,136.00
251.30,134.00
248.85,133.00
246.40,132.00
239.05,129.00
236.60,128.00
229.25,125.00
229.25,125.00
224.35,123.00
217.00,120.00
214.60,119.00
212.20,118.00
212.20,118.00
209.80,117.00
209.80,117.00
212.20,118.00
212.20,118.00
214.60,119.00
217.00,120.00
219.45,121.00
221.90,122.00
221.90,122.00
224.35,123.00
229.25,125.00
231.70,126.00
236.60,128.00
241.50,130.00
243.95,131.00
243.95,131.00
246.40,132.00
248.85,133.00
251.30,134.00
251.30,134.00
253.75,135.00
253.75,135.00
256.20,136.00
253.75,135.00
253.75,135.00
256.20,136.00
256.20,136.00
258.65,137.00
258.65,137.00
261.10,138.00
261.10,138.00
266.00,140.00
266.00,140.00
268.40,141.00
270.80,142.00
270.80,142.00
273.20,143.00
275.60,144.00
275.60,144.00
275.60,144.00
278.00,145.00
275.60,144.00
278.00,145.00
278.00,145.00
275.60,144.00
275.60,144.00
275.60,144.00
278.00,145.00
278.00,145.00
280.40,146.00
280.40,146.00
280.40,146.00
280.40,146.00
282.80,147.00
287.60,149.00
285.20,148.00
290.00,150.00
290.00,150.00
297.20,153.00
299.60,154.00
302.00,155.00
306.80,157.00
306.80,157.00
309.20,158.00
309.20,158.00
311.60,159.00
316.50,161.00
319.00,162.00
319.00,162.00
321.50,163.00
324.00,164.00
324.00,164.00
324.00,164.00
326.50,165.00
326.50,165.00
334.00,168.00
334.00,168.00
331.50,167.00
334.00,168.00
334.00,168.00
336.50,169.00
336.50,169.00
336.50,169.00
339.00,170.00
339.00,170.00
341.50,171.00
341.50,171.00
341.50,171.00
339.00,170.00
339.00,170.00
339.00,170.00
339.00,170.00
339.00,170.00
336.50,169.00
334.00,168.00
334.00,168.00
334.00,168.00
334.00,168.00
334.00,168.00
334.00,168.00
336.50,169.00
336.50,169.00
339.00,170.00
339.00,170.00
341.50,171.00
344.00,172.00
346.50,173.00
346.50,173.00
349.00,174.00
351.50,175.00
354.00,176.00
356.50,177.00
356.50,177.00
359.00,178.00
359.00,178.00
361.50,179.00
361.50,179.00
361.50,179.00
364.00,180.00
364.00,180.00
366.50,181.00
366.50,181.00
366.50,181.00
369.00,182.00
369.00,182.00
371.50,183.00
374.00,184.00
374.00,184.00
376.50,185.00
379.00,186.00
381.50,187.00
384.00,188.00
386.50,189.00
386.50,189.00
391.50,191.00
391.50,191.00
396.50,193.00
399.00,194.00
399.00,194.00
401.50,195.00
404.00,196.00
406.50,197.00
406.50,197.00
406.50,197.00
409.00,198.00
409.00,198.00
409.00,198.00
409.00,198.00
411.50,199.00
411.50,199.00
411.50,199.00
414.00,200.00
414.00,200.00
414.00,200.00
416.45,201.00
416.45,201.00
416.45,201.00
416.45,201.00
418.90,202.00
421.35,203.00
421.35,203.00
423.80,204.00
426.25,205.00
426.25,205.00
428.70,206.00
428.70,206.00
433.60,208.00
433.60,208.00
433.60,208.00
433.60,208.00
436.05,209.00
438.50,210.00
440.95,211.00
440.95,211.00
443.40,212.00
443.40,212.00
445.85,213.00
445.85,213.00
445.85,213.00
445.85,213.00
448.30,214.00
445.85,213.00
448.30,214.00
445.85,213.00
448.30,214.00
448.30,214.00
448.30,214.00
448.30,214.00
445.85,213.00
448.30,214.00
445.85,213.00
445.85,213.00
445.85,213.00
445.85,213.00
443.40,212.00
440.95,211.00
440.95,211.00
440.95,211.00
440.95,211.00
440.95,211.00
440.95,211.00
440.95,211.00
440.95,211.00
438.50,210.00
440.95,211.00
438.50,210.00
436.05,209.00
436.05,209.00
433.60,208.00
433.60,208.00
428.70,206.00
428.70,206.00
426.25,205.00
423.80,204.00
421.35,203.00
421.35,203.00
421.35,203.00
418.90,202.00
418.90,202.00
416.45,201.00
416.45,201.00
416.45,201.00
416.45,201.00
416.45,201.00
416.45,201.00
418.90,202.00
418.90,202.00
418.90,202.00
421.35,203.00
423.80,204.00
423.80,204.00
426.25,205.00
428.70,206.00
431.15,207.00
433.60,208.00
436.05,209.00
438.50,210.00
440.95,211.00
440.95,211.00
440.95,211.00
443.40,212.00
440.95,211.00
443.40,212.00
440.95,211.00
440.95,211.00
440.95,211.00
443.40,212.00
438.50,210.00
433.60,208.00
433.60,208.00
436.05,209.00
428.70,206.00
426.25,205.00
428.70,206.00
421.35,203.00
423.80,204.00
421.35,203.00
423.80,204.00
418.90,202.00
421.35,203.00
418.90,202.00
416.45,201.00
418.90,202.00
416.45,201.00
414.00,200.00
414.00,200.00
414.00,200.00
411.50,199.00
